Number,Prompt,Category
1,What made you smile this week?,Cozy life
2,Describe your perfect slow Sunday.,Deep questions
3,"What book, song, or film feels like home right now?",Seasonal
4,Tell me about a tiny tradition you want to keep.,Creative
5,What is one local spot you wish I could visit with you?,Getting to know you
6,What are three things currently on your desk?,Cozy life
7,Write a mini travel guide for your city.,Deep questions
8,What is a childhood snack you still love?,Seasonal
9,What did you learn the hard way recently?,Creative
10,What is your current creative obsession?,Getting to know you
11,Send a recipe you can make without thinking.,Cozy life
12,What do you want the next season to feel like?,Deep questions
13,List five small joys from today.,Seasonal
14,What is one question you wish people asked more often?,Creative
15,Describe your favorite morning sound.,Getting to know you
16,What are you trying to simplify?,Cozy life
17,What is the best compliment you received lately?,Deep questions
18,Share a memory attached to a scent.,Seasonal
19,What is a goal you are quietly working on?,Creative
20,"If we swapped weekends, what should I do first?",Getting to know you
21,What is in your bag right now?,Cozy life
22,"Write a playlist in words, not links.",Deep questions
23,What is a belief you changed your mind about?,Seasonal
24,Describe a photo you did not take but remember.,Creative
25,"What do you collect, even accidentally?",Getting to know you
26,What is a tiny luxury you recommend?,Cozy life
27,What is your favorite handwritten note you ever received?,Deep questions
28,What is your comfort meal?,Seasonal
29,Tell me about a person who shaped your taste.,Creative
30,What is your current weather and mood?,Getting to know you
31,What are you grateful for that feels ordinary?,Cozy life
32,What is a place you miss?,Deep questions
33,Write three predictions for your next month.,Seasonal
34,What would your ideal care package include?,Creative
35,What is a skill you want to learn slowly?,Getting to know you
36,Describe your favorite corner of your home.,Cozy life
37,What is a quote you keep returning to?,Deep questions
38,What is a family saying or inside joke?,Seasonal
39,What have you been procrastinating and why?,Creative
40,What is something you noticed on a walk?,Getting to know you
41,What is your favorite way to celebrate small wins?,Cozy life
42,What would you put in a time capsule today?,Deep questions
43,What is one thing you want to remember about this year?,Seasonal
44,Tell me about your favorite mug or cup.,Creative
45,What is a simple kindness someone did for you?,Getting to know you
46,What does friendship mean to you this season?,Cozy life
47,What are your current top three colors?,Deep questions
48,Write a tiny poem about today.,Seasonal
49,What are you looking forward to?,Creative
50,What is the best advice you ignored?,Getting to know you
51,What should I know before visiting your town?,Cozy life
52,What is something you do when you need courage?,Deep questions
53,What is your favorite old-fashioned habit?,Seasonal
54,What is a souvenir you kept?,Creative
55,What is a question for my next letter?,Getting to know you
56,What has surprised you lately?,Cozy life
57,Describe a dream dinner party guest list.,Deep questions
58,What is a seasonal bucket list item?,Seasonal
59,What is a word you love?,Creative
60,What is one promise you want to make to yourself?,Getting to know you
