Event,Category,Estimated Cost,Actual Cost,Paid By,Due Date,Status,Notes
Engagement Party,Venue,,,,,Not started,
Engagement Party,Food,,,,,Not started,
Engagement Party,Beverages,,,,,Not started,
Engagement Party,Decor,,,,,Not started,
Engagement Party,Invitations,,,,,Not started,
Engagement Party,Contingency,,,,,Not started,
Bridal Shower,Venue,,,,,Not started,
Bridal Shower,Food,,,,,Not started,
Bridal Shower,Beverages,,,,,Not started,
Bridal Shower,Decor,,,,,Not started,
Bridal Shower,Invitations,,,,,Not started,
Bridal Shower,Contingency,,,,,Not started,
Bachelorette Weekend,Venue,,,,,Not started,
Bachelorette Weekend,Food,,,,,Not started,
Bachelorette Weekend,Beverages,,,,,Not started,
Bachelorette Weekend,Decor,,,,,Not started,
Bachelorette Weekend,Invitations,,,,,Not started,
Bachelorette Weekend,Contingency,,,,,Not started,
Welcome Dinner,Venue,,,,,Not started,
Welcome Dinner,Food,,,,,Not started,
Welcome Dinner,Beverages,,,,,Not started,
Welcome Dinner,Decor,,,,,Not started,
Welcome Dinner,Invitations,,,,,Not started,
Welcome Dinner,Contingency,,,,,Not started,
Rehearsal Dinner,Venue,,,,,Not started,
Rehearsal Dinner,Food,,,,,Not started,
Rehearsal Dinner,Beverages,,,,,Not started,
Rehearsal Dinner,Decor,,,,,Not started,
Rehearsal Dinner,Invitations,,,,,Not started,
Rehearsal Dinner,Contingency,,,,,Not started,
Post-Wedding Brunch,Venue,,,,,Not started,
Post-Wedding Brunch,Food,,,,,Not started,
Post-Wedding Brunch,Beverages,,,,,Not started,
Post-Wedding Brunch,Decor,,,,,Not started,
Post-Wedding Brunch,Invitations,,,,,Not started,
Post-Wedding Brunch,Contingency,,,,,Not started,
