Milestone,Ideal timing,Task,Owner,Status,Notes
Engagement party,8-12 months before,"Choose host, guest count, and casual budget",,Not started,
Engagement party,8-12 months before,"Pick date, location, and simple theme",,Not started,
Engagement party,6-8 months before,Send invitations and collect RSVPs,,Not started,
Bridal/couple shower,3-5 months before,"Confirm host, registry note, and guest list",,Not started,
Bridal/couple shower,2-4 months before,"Plan food, games, gifts table, and thank-you card station",,Not started,
Bachelor/bachelorette,2-4 months before,Set realistic per-person budget and payment deadlines,,Not started,
Bachelor/bachelorette,2-3 months before,Book stay/activities and collect emergency contacts,,Not started,
Rehearsal dinner,1-3 months before,"Confirm venue, menu, speeches, and seating style",,Not started,
Ceremony week,Wedding week,"Pack detail box, vendor balances, rings, licenses, and emergency kit",,Not started,
Day-after brunch,1-2 months before,"Decide host, drop-in time, casual menu, and cleanup owner",,Not started,
All mini-events,Anytime,"Record thank-you notes, final costs, and lessons learned",,Not started,
