Day,Channel,Hook,Post Idea,Asset Needed,Status,Notes
1,Pinterest / Instagram / X,,,,Planned,
2,Pinterest / Instagram / X,,,,Planned,
3,Pinterest / Instagram / X,,,,Planned,
4,Pinterest / Instagram / X,,,,Planned,
5,Pinterest / Instagram / X,,,,Planned,
6,Pinterest / Instagram / X,,,,Planned,
7,Pinterest / Instagram / X,,,,Planned,
8,Pinterest / Instagram / X,,,,Planned,
9,Pinterest / Instagram / X,,,,Planned,
10,Pinterest / Instagram / X,,,,Planned,
11,Pinterest / Instagram / X,,,,Planned,
12,Pinterest / Instagram / X,,,,Planned,
13,Pinterest / Instagram / X,,,,Planned,
14,Pinterest / Instagram / X,,,,Planned,
15,Pinterest / Instagram / X,,,,Planned,
16,Pinterest / Instagram / X,,,,Planned,
17,Pinterest / Instagram / X,,,,Planned,
18,Pinterest / Instagram / X,,,,Planned,
19,Pinterest / Instagram / X,,,,Planned,
20,Pinterest / Instagram / X,,,,Planned,
21,Pinterest / Instagram / X,,,,Planned,
22,Pinterest / Instagram / X,,,,Planned,
23,Pinterest / Instagram / X,,,,Planned,
24,Pinterest / Instagram / X,,,,Planned,
25,Pinterest / Instagram / X,,,,Planned,
26,Pinterest / Instagram / X,,,,Planned,
27,Pinterest / Instagram / X,,,,Planned,
28,Pinterest / Instagram / X,,,,Planned,
29,Pinterest / Instagram / X,,,,Planned,
30,Pinterest / Instagram / X,,,,Planned,
